CowID,Lact,Cow Sold,Herd Sold,Cow Shortloss,Herd Shortloss,Cow Longloss,Herd Longloss,Cow Failure,Herd Failure,Cow Recurred,Herd Recurred,Cow Quality
N08714510,4,77.0,51,72.0,49,77.0,51,52.0,48,64.0,47,4
N08714510,4,79.0,51,75.0,49,82.0,51,52.0,48,66.0,47,4
N08714531,7,83.0,51,68.0,49,90.0,51,25.0,48,44.0,47,4
N08714531,7,87.0,51,76.0,49,91.0,51,36.0,48,48.0,47,5
N08719131,1,29.0,51,27.0,49,19.0,51,30.0,48,34.0,47,2
N08719131,1,32.0,51,27.0,49,19.0,51,37.0,48,34.0,47,2
N08719131,1,42.0,51,45.0,49,38.0,51,24.0,48,44.0,47,2
N08719134,1,40.0,51,32.0,49,29.0,51,29.0,48,32.0,47,2
N08719134,1,54.0,51,47.0,49,50.0,51,24.0,48,44.0,47,3
N08723624,1,32.0,51,29.0,49,21.0,51,24.0,48,36.0,47,2
N08723624,2,52.0,51,41.0,49,43.0,51,25.0,48,55.0,47,3
N08723626,1,60.0,51,58.0,49,59.0,51,27.0,48,33.0,47,3
N08723626,1,67.0,51,59.0,49,67.0,51,24.0,48,44.0,47,3
N08723626,1,70.0,51,63.0,49,74.0,51,35.0,48,57.0,47,4
N08723628,5,56.0,51,50.0,49,46.0,51,70.0,48,58.0,47,3
N08726671,2,30.0,51,21.0,49,27.0,51,23.0,48,28.0,47,2
N08726671,3,16.0,51,29.0,49,45.0,51,37.0,48,23.0,47,2
N08726672,1,18.0,51,23.0,49,14.0,51,48.0,48,37.0,47,2
N08726676,5,50.0,51,40.0,49,44.0,51,35.0,48,46.0,47,3
N08726677,4,59.0,51,48.0,49,41.0,51,61.0,48,51.0,47,3
N08726677,5,70.0,51,59.0,49,65.0,51,40.0,48,56.0,47,3
N08726695,2,16.0,51,22.0,49,20.0,51,57.0,48,27.0,47,1
N08726695,3,18.0,51,18.0,49,18.0,51,57.0,48,39.0,47,2
N08729690,1,27.0,51,27.0,49,17.0,51,55.0,48,34.0,47,2
N08729691,1,31.0,51,29.0,49,22.0,51,29.0,48,33.0,47,2
