CowID,Lact,Cow Sold,Herd Sold,Cow Shortloss,Herd Shortloss,Cow Longloss,Herd Longloss,Cow Failure,Herd Failure,Cow Recurred,Herd Recurred,Cow Quality
N07687970,4,15.0,56,23.0,55,30.0,60,56.0,49,35.0,53,2
N07687970,8,67.0,56,51.0,55,44.0,60,49.0,49,53.0,53,3
N07687971,3,46.0,56,37.0,55,37.0,60,29.0,49,47.0,53,2
N07687971,3,51.0,56,43.0,55,37.0,60,44.0,49,51.0,53,3
N07687971,3,59.0,56,55.0,55,56.0,60,54.0,49,60.0,53,3
N07687971,3,59.0,56,60.0,55,58.0,60,54.0,49,61.0,53,3
N07687971,4,79.0,56,61.0,55,74.0,60,53.0,49,67.0,53,4
N07687973,4,53.0,56,48.0,55,63.0,60,55.0,49,63.0,53,3
N07687973,5,63.0,56,63.0,55,70.0,60,59.0,49,71.0,53,4
N07687973,5,29.0,56,59.0,55,57.0,60,50.0,49,74.0,53,4
N07687973,5,20.0,56,43.0,55,66.0,60,48.0,49,35.0,53,3
N07687976,6,15.0,56,35.0,55,32.0,60,62.0,49,38.0,53,2
N07687976,8,79.0,56,66.0,55,83.0,60,58.0,49,35.0,53,4
N07687976,8,84.0,56,79.0,55,81.0,60,57.0,49,49.0,53,4
N07687977,5,84.0,56,66.0,55,88.0,60,50.0,49,56.0,53,4
N07687977,5,89.0,56,75.0,55,91.0,60,51.0,49,58.0,53,5
N07687977,5,89.0,56,75.0,55,91.0,60,57.0,49,56.0,53,5
N07687977,5,92.0,56,83.0,55,93.0,60,47.0,49,58.0,53,5
N07687980,6,82.0,56,70.0,55,90.0,60,53.0,49,66.0,53,4
N07687981,6,66.0,56,56.0,55,61.0,60,59.0,49,61.0,53,3
N07687981,6,74.0,56,69.0,55,76.0,60,60.0,49,63.0,53,4
N07687981,6,74.0,56,69.0,55,76.0,60,53.0,49,59.0,53,4
N07687982,6,70.0,56,56.0,55,68.0,60,57.0,49,45.0,53,3
N07687985,3,19.0,56,44.0,55,48.0,60,56.0,49,50.0,53,3
N07687985,3,19.0,56,53.0,55,55.0,60,55.0,49,52.0,53,3
N07687985,3,19.0,56,61.0,55,61.0,60,56.0,49,47.0,53,3
N07687985,4,77.0,56,71.0,55,84.0,60,45.0,49,65.0,53,4
N07687985,4,77.0,56,72.0,55,89.0,60,44.0,49,73.0,53,4
N07687985,4,30.0,56,59.0,55,74.0,60,33.0,49,59.0,53,4
N07687987,4,18.0,56,38.0,55,63.0,60,47.0,49,23.0,53,3
N07687987,5,65.0,56,61.0,55,77.0,60,64.0,49,68.0,53,4
N07687987,5,80.0,56,68.0,55,82.0,60,60.0,49,63.0,53,4
N07687987,5,82.0,56,75.0,55,85.0,60,50.0,49,68.0,53,4
N07687987,5,83.0,56,78.0,55,88.0,60,64.0,49,58.0,53,4
N07687987,5,85.0,56,79.0,55,89.0,60,46.0,49,62.0,53,4
N07687987,6,89.0,56,84.0,55,90.0,60,34.0,49,66.0,53,4
N07687987,6,89.0,56,86.0,55,92.0,60,44.0,49,63.0,53,5
N07687987,6,89.0,56,86.0,55,92.0,60,63.0,49,63.0,53,5
N07690573,5,64.0,56,59.0,55,64.0,60,60.0,49,63.0,53,3
N07690574,4,19.0,56,22.0,55,22.0,60,50.0,49,52.0,53,3
N07690574,6,66.0,56,63.0,55,61.0,60,53.0,49,65.0,53,3
N07690574,6,17.0,56,49.0,55,55.0,60,62.0,49,19.0,53,3
N07690574,7,77.0,56,68.0,55,73.0,60,63.0,49,72.0,53,4
N07690574,7,84.0,56,76.0,55,80.0,60,37.0,49,58.0,53,4
