CowID,Lact,DIM,Cow Sold,Herd Sold,Cow Shortloss,Herd Shortloss,Cow Longloss,Herd Longloss,Cow Failure,Herd Failure,Cow Recurred,Herd Recurred,Cow Quality
N05609360,5,87,66.0,45,58.0,50,67.0,53,53.0,57,61.0,50,3
N05612807,7,127,26.0,45,45.0,50,44.0,53,71.0,57,46.0,50,2
N05612807,8,85,68.0,45,57.0,50,57.0,53,63.0,57,52.0,50,3
N05612815,5,3,78.0,45,46.0,50,89.0,53,57.0,57,53.0,50,4
N05612815,5,148,45.0,45,58.0,50,81.0,53,66.0,57,54.0,50,4
N05612815,5,157,45.0,45,60.0,50,81.0,53,67.0,57,45.0,50,4
N05612815,6,11,85.0,45,80.0,50,92.0,53,58.0,57,70.0,50,5
N05615651,5,172,68.0,45,56.0,50,55.0,53,67.0,57,53.0,50,3
N05615651,7,339,15.0,45,38.0,50,63.0,53,67.0,57,13.0,50,3
N05615651,7,387,14.0,45,26.0,50,38.0,53,19.0,57,6.0,50,2
N05615652,5,53,78.0,45,67.0,50,73.0,53,57.0,57,65.0,50,4
N05615652,5,112,87.0,45,73.0,50,79.0,53,46.0,57,61.0,50,4
N05615652,5,139,89.0,45,79.0,50,84.0,53,68.0,57,65.0,50,4
N05615660,7,16,63.0,45,55.0,50,63.0,53,63.0,57,61.0,50,3
N05615660,7,22,63.0,45,55.0,50,63.0,53,59.0,57,61.0,50,3
N05615660,7,143,76.0,45,59.0,50,61.0,53,66.0,57,46.0,50,4
N05615660,7,188,82.0,45,74.0,50,75.0,53,58.0,57,51.0,50,4
N05615668,7,351,17.0,45,25.0,50,27.0,53,57.0,57,17.0,50,1
N05615668,8,20,71.0,45,62.0,50,58.0,53,48.0,57,52.0,50,4
N05618558,4,422,15.0,45,24.0,50,18.0,53,39.0,57,26.0,50,1
N05618558,6,16,69.0,45,61.0,50,65.0,53,64.0,57,65.0,50,3
N05622565,4,105,57.0,45,46.0,50,47.0,53,71.0,57,54.0,50,3
N05622565,4,117,66.0,45,62.0,50,59.0,53,59.0,57,58.0,50,3
N05622565,6,50,71.0,45,61.0,50,75.0,53,52.0,57,67.0,50,4
N05622565,6,89,75.0,45,73.0,50,80.0,53,64.0,57,63.0,50,4
N05622566,4,149,27.0,45,42.0,50,50.0,53,74.0,57,58.0,50,3
N05622566,4,272,20.0,45,42.0,50,55.0,53,65.0,57,37.0,50,3
N05622566,5,225,35.0,45,55.0,50,61.0,53,68.0,57,61.0,50,3
